::SOS PWR RTG
--SOSP_Rank	*Team	Region	Seed	SOSP_Rating	SOSP_Record
--HP_Rank	*Team	Region	Seed	HP_Rating	HP_Record	HP_v1-25	HP_v26-50
1	Florida	South	3	126.5	15-0	2-0	2-0
2	Duke	Midwest	2	123.0	16-0	2-0	2-0
4	Marquette	East	3	119.9	16-0	5-0	1-0
5	Missouri	Midwest	9	119.7	17-0	1-0	1-0
6	Kansas	South	1	118.6	16-1	1-1	5-0
7	Louisville	Midwest	1	118.4	15-1	3-1	1-0
8	Michigan St	Midwest	3	118.3	16-1	3-1	3-0
9	Michigan	South	4	118.1	15-1	2-1	3-0
10	Belmont	West	11	117.9	12-0	0-0	1-0
11	Miami (FL)	East	2	117.4	14-1	2-0	2-0
#12	Middle Tenn	Midwest	11	117.1	15-0	0-0	1-0
13	Ohio State	West	2	116.7	16-2	3-2	3-0
14	Georgetown	South	2	116.5	16-1	3-1	0-0
15	New Mexico	West	3	116.5	16-1	1-0	3-0
16	Indiana	East	1	116.2	17-2	2-2	3-0
17	Iowa State	West	10	116.1	16-1	2-1	1-0
18	San Diego St	South	7	116.0	12-1	2-0	1-1
#19	Boise State	West	13	115.9	12-1	1-1	2-0
20	Kansas St	West	4	115.6	15-1	1-1	2-0
21	Colorado St	Midwest	8	115.5	14-1	0-1	3-0
22	Minnesota	South	11	115.5	15-2	3-1	1-1
23	NC State	East	8	115.5	16-1	1-1	1-0
25	Syracuse	East	4	115.0	17-2	1-2	2-0
27	Saint Louis	Midwest	4	114.7	17-2	2-0	2-0
28	Oklahoma St	Midwest	5	114.7	15-2	1-2	2-0
29	Oklahoma	South	10	114.6	12-2	2-1	1-0
30	Gonzaga	West	1	114.5	14-1	0-0	1-1
32	St Marys	Midwest	11	113.7	15-1	1-1	0-0
34	VCU	South	5	113.6	15-2	1-0	1-2
35	N Carolina	South	8	113.5	14-2	0-2	2-0
36	Memphis	Midwest	6	113.5	17-1	0-1	0-0
37	Wisconsin	West	5	112.9	15-3	2-1	3-0
38	Mississippi	West	12	112.8	16-1	0-0	1-0
39	UNLV	East	5	112.3	16-3	2-1	3-1
40	Arizona	West	6	112.3	14-2	1-0	1-1
41	Notre Dame	West	7	112.2	17-3	1-1	2-1
42	Creighton	Midwest	7	112.1	15-2	0-0	1-1
43	N Mex State	Midwest	13	111.6	14-1	0-1	0-0
45	Butler	East	6	111.3	13-2	1-1	1-0
47	Villanova	South	9	111.1	11-4	4-1	0-1
48	Pittsburgh	West	8	111.1	15-3	1-2	2-1
49	S Dakota St	South	13	111.0	12-0	0-0	0-0
51	Oregon	Midwest	12	110.8	17-2	1-0	0-1
52	Colorado	East	10	110.6	12-3	2-0	1-1
53	UCLA	South	6	110.2	15-3	1-0	1-1
57	La Salle	West	13	109.4	11-2	1-0	1-0
